,Jaccard Indices,,
,Original Boundary Tool,preciseTAD,P-Value
ARROWHEAD,0.284 (0.268-0.301),0.472 (0.441-0.503),
PEAKACHU,0.509 (0.503-0.515),0.647 (0.646-0.647),
