Resolution,Resampling Technique,Predictor Type,Metric,Average Performance,SD Performance
25kb,None,Distance,Precision,0.669,0.093
25kb,None,Distance,MCC,0.194,0.044
25kb,None,Distance,F1,0.141,0.05
25kb,None,Distance,AUC,0.831,0.035
25kb,None,Distance,AUPRC,0.449,0.058
25kb,ROS,OC,Sensitivity,0.161,0.064
25kb,ROS,OC,Specificity,0.911,0.038
25kb,ROS,OC,Accuracy,0.803,0.027
25kb,ROS,OC,Precision,0.234,0.06
25kb,ROS,OC,MCC,0.084,0.045
25kb,ROS,OC,F1,0.183,0.057
25kb,ROS,OC,AUC,0.627,0.035
25kb,ROS,OC,AUPRC,0.209,0.024
25kb,ROS,OP,Sensitivity,0.108,0.051
25kb,ROS,OP,Specificity,0.941,0.029
25kb,ROS,OP,Accuracy,0.821,0.023
25kb,ROS,OP,Precision,0.23,0.094
25kb,ROS,OP,MCC,0.067,0.056
25kb,ROS,OP,F1,0.149,0.053
25kb,ROS,OP,AUC,0.626,0.035
25kb,ROS,OP,AUPRC,0.208,0.029
25kb,ROS,Distance,Sensitivity,0.216,0.061
25kb,ROS,Distance,Specificity,0.976,0.01
25kb,ROS,Distance,Accuracy,0.866,0.012
25kb,ROS,Distance,Precision,0.609,0.067
25kb,ROS,Distance,MCC,0.303,0.045
25kb,ROS,Distance,F1,0.312,0.063
25kb,ROS,Distance,AUC,0.859,0.029
25kb,ROS,Distance,AUPRC,0.5,0.042
25kb,RUS,OC,Sensitivity,0.544,0.083
25kb,RUS,OC,Specificity,0.661,0.051
25kb,RUS,OC,Accuracy,0.644,0.036
25kb,RUS,OC,Precision,0.212,0.021
25kb,RUS,OC,MCC,0.15,0.038
25kb,RUS,OC,F1,0.304,0.03
25kb,RUS,OC,AUC,0.632,0.034
25kb,RUS,OC,AUPRC,0.227,0.028
25kb,RUS,OP,Sensitivity,0.573,0.078
25kb,RUS,OP,Specificity,0.644,0.041
25kb,RUS,OP,Accuracy,0.634,0.03
25kb,RUS,OP,Precision,0.212,0.021
25kb,RUS,OP,MCC,0.156,0.041
25kb,RUS,OP,F1,0.309,0.027
25kb,RUS,OP,AUC,0.636,0.037
25kb,RUS,OP,AUPRC,0.226,0.031
25kb,RUS,Distance,Sensitivity,0.778,0.048
25kb,RUS,Distance,Specificity,0.664,0.034
25kb,RUS,Distance,Accuracy,0.68,0.03
25kb,RUS,Distance,Precision,0.28,0.021
