Resolution,10 kb,,,25 kb,,,50 kb,,,100 kb,,
Cell Line-Specific Annotation,OC,OP,Distance,OC,OP,Distance,OC,OP,Distance,OC,OP,Distance
Nfya,0.585919486,0,100,0.312197084,0,100,0.838746309,0,100,0.131959382,0,100
Nfyb,0,12.50495846,100,0,7.30209274,100,0,6.901344723,100,0,43.28492569,100
Nrf1,0,0.157634773,100,0,0.943388465,100,0,2.157969063,100,0,2.421993782,100
Nrsf,0,5.984086129,100,0,13.71500635,100,0,12.65283835,100,0,19.46998496,100
P300,0,0.656957896,100,0,6.862971211,100,0,11.04590165,100,0,0.804548695,100
P300b,2.657807248,0,100,4.401803254,0,100,0,5.640361571,100,0.096945732,0,100
Pax5c20,0,3.310856445,100,0.386311352,0,100,0,8.689906589,100,0,23.01802567,100
Pax5n19,1.613572016,0,100,1.15057037,0,100,0,8.152336273,100,0,19.3956467,100
Pbx3,0,3.863431945,100,0,13.78035791,100,0,22.16881453,100,0,13.94026721,100
Pmlsc71910,0,16.78129564,100,0,20.94052187,100,0,21.43599076,100,0,31.93395643,100
Pol2,0,26.81987852,100,0,41.77790079,100,0,55.60854419,100,0,29.49707119,100
Pol24h8,0,20.90781214,100,0,39.41241233,100,0,31.94971891,100,0,53.02353505,100
Pol2s2,0,2.480322499,100,0,2.326342263,100,1.408796938,0,100,0,1.266148343,100
Pou2f2,0,7.86766528,100,0,14.72139013,100,0,20.86642458,100,0,15.78819931,100
Pu1,0,9.654229764,100,0,20.35813958,100,0,27.20400829,100,0,33.68008937,100
Rad21,0,28.29692917,100,0,44.07402138,100,0,46.22793369,100,0,65.61762196,100
Rfx5200401194,0,3.322922395,100,0,0.483414461,100,0,2.747976692,100,6.309803127,0,100
Runx3sc101553,0,24.39406052,100,0,35.96880225,100,0,39.39984205,100,0,55.16873182,100
Rxra,0,1.036912632,100,0.872475075,0,100,0.644237402,0,100,0.625017285,0,100
Sin3anb6001263,0,1.263455611,100,0,0.220914761,100,2.126230898,0,100,0,3.84263691,100
Six5,0,8.257371325,100,0,8.862783169,100,0,15.00341144,100,0,16.09561222,100
Smc3ab9263,0,1.43742939,100,2.980109817,0,100,0,14.82801064,100,0,4.225188572,100
Sp1,0,12.37271052,100,0,15.4021624,100,0,33.38116271,100,0,18.31752774,100
Srf,0,5.698907234,100,0,15.25348764,100,0,23.3097265,100,0,28.61796779,100
Stat1,0,1.226536763,100,0,3.198898257,100,1.33474126,0,100,0.391791475,0,100
Stat3,2.942667582,0,100,3.319711801,0,100,2.308788792,0,100,0,1.846474886,100
Stat5asc74442,0,1.362793411,100,0,4.938917733,100,0,2.746290616,100,0,3.883621067,100
Taf1,0,11.61016695,100,0,21.16897452,100,0,35.1031268,100,0,23.64092554,100
