Resolution,10 kb,,,25 kb,,,50 kb,,,100 kb,,
Cell Line-Specific Annotation,OC,OP,Distance,OC,OP,Distance,OC,OP,Distance,OC,OP,Distance
H3k4me2,0,33.52707557,100,0,48.26604961,100,0,79.58746756,100,0,43.08380444,100
H3k4me3,0,19.49372309,100,0,50.48214203,100,0,44.20802662,100,0,51.43116211,100
H3k79me2,0,24.75004437,100,0,42.26800068,100,0,58.8655899,100,0,44.15486343,100
H3k9ac,0,21.4230375,100,0,44.19116115,100,0,34.88786154,100,0,40.93981639,100
H3k9me1,0,16.88741987,100,0,48.77679262,100,0,86.10303309,100,0,76.19650316,100
H3k9me3,0,100,62.48818602,0,66.72681307,100,0,100,90.46719075,0,78.30652423,100
H4k20me1,0,100,42.09007945,0,61.65852596,100,0,65.55017544,100,0,42.87769152,100
Hdac1sc6298,0,4.626232858,100,0,6.593715966,100,2.821555854,100,0,0,13.05922459,100
Hdac2a300705a,0,5.519563223,100,0,2.30963263,100,3.53910516,0,100,1.767783875,0,100
Hdac2sc6296,8.562906737,0,100,0,3.077846367,100,0,6.26407567,100,0,4.214800137,100
Hdac6a301341a,0,0.807816789,100,0.067090502,0,100,2.317550307,0,100,0,1.339889325,100
Hmgn3,0.324921801,0,100,0.123418445,0,100,25.9968404,0,100,3.56783221,0,100
Ini1,1.457718422,0,100,0,3.995515973,100,0,0.646800555,100,2.305080237,0,100
Irf1,0,0.575121632,100,0.50096755,0,100,1.650208053,0,100,0.70449608,0,100
Jund,15.45970609,0,100,0,7.451177109,100,22.15431533,0,100,0,19.52395713,100
Kap1,0,0.795269651,100,0,0.881994492,100,0,14.46969392,100,0,7.547065424,100
Maff,29.52799067,0,100,22.01405042,0,100,31.45086931,0,100,0,4.927374616,100
Mafkab50322,100,0,31.50811785,21.4376249,0,100,61.11950739,0,100,0,26.30700325,100
Max,0,6.719312303,100,0,37.86900002,100,0,53.86354649,100,0,43.105975,100
Mazab85725,2.224516138,0,100,0,4.999303734,100,25.59538992,0,100,0,21.19200431,100
Mef2a,2.49533777,0,100,0.804401804,0,100,1.869868846,0,100,0,6.783214981,100
Mxi1af4185,0.384610333,0,100,1.86532718,0,100,22.14206598,0,100,1.57568297,0,100
Nelfe,0,0.571652257,100,0,0.491777745,100,0,0.486107398,100,0,0.380350789,100
Nfe2,0,0.457119447,100,0.431963998,0,100,15.41109169,0,100,0.539405918,0,100
Nfya,0,1.080539467,100,0,3.573778386,100,18.10046709,0,100,0,15.59348466,100
Nfyb,3.963458323,0,100,0,15.34196996,100,5.82910136,0,100,0,23.55938969,100
Nr2f2sc271940,0,0.850315327,100,0,3.260451068,100,15.4596081,0,100,0,21.46493463,100
Nrf1,0,1.027540209,100,0,5.67771381,100,0,7.696194753,100,0,11.6798551,100
Nrsf,9.045954011,0,100,0,4.774190967,100,23.55844662,0,100,0,36.91664361,100
P300,10.82778428,0,100,2.626653687,0,100,0.747970518,0,100,3.708219986,0,100
Phf8a301772a,0,16.77966248,100,0,32.77459542,100,0,16.15073714,100,0,42.38421586,100
Plu1,0,13.90500987,100,0,16.20080788,100,5.512365321,0,100,0,16.73322113,100
Pmlsc71910,0,1.278690358,100,0,4.598149858,100,21.5757887,0,100,0,29.95543203,100
Pol2,0,16.4371869,100,0,24.85326734,100,0,32.56512612,100,0,29.76749725,100
Pol24h8,0,16.23737247,100,0,24.33678496,100,0,3.650139256,100,0,39.71434609,100
Pol2b,0,1.209208315,100,0,0.65918193,100,13.36741705,0,100,1.235377219,0,100
Pol2s2,0,4.791154593,100,0,5.252679111,100,0,12.80299696,100,0,10.75757821,100
Pu1,0,0.622700752,100,0,10.42090963,100,16.30340246,0,100,0,18.41818774,100
Rad21,0,14.12313412,100,0,26.3892003,100,0,58.44199244,100,0,59.8136583,100
Rbbp5a300109a,0,3.964670416,100,0,20.64210086,100,0,0.871042884,100,0,22.19699452,100
Rfx5,0,0.852585078,100,2.225743525,0,100,0,17.00901607,100,0,2.799391769,100
Rpc155,0,1.622525846,100,0,2.48443681,100,15.93169483,0,100,0,2.250766147,100
Sap3039731,0,7.355989398,100,0,3.415763191,100,5.142654582,0,100,0,12.6664749,100
Setdb1,0,0.900962119,100,2.088252197,0,100,0,1.633896631,100,0,2.986844578,100
Sin3ak20,1.040830805,0,100,0,5.40871338,100,0,5.747670576,100,0,8.171568877,100
Sirt6,0.329819401,0,100,0,3.304064132,100,4.372167083,0,100,0,0.949954091,100
Six5,0,2.400694424,100,0,4.498083804,100,6.42808872,0,100,0,13.08924791,100
Smc3ab9263,0,2.560575066,100,0,1.754681043,100,53.56409237,0,100,0,5.329983183,100
Sp1,8.774541917,0,100,0,1.668936273,100,2.401299502,0,100,0,14.47162943,100
Sp2sc643,0,1.443767549,100,0,7.92266119,100,0,100,70.05700831,0,13.93284685,100
Srf,11.06764463,0,100,0,3.916219918,100,0,2.026768812,100,0,5.185308505,100
Stat1,0,0.804857897,100,0,2.812114217,100,5.671840537,0,100,0,3.30586263,100
Stat2,0,2.046860009,100,2.099072226,0,100,5.719262291,0,100,0,5.274602631,100
Stat5asc74442,2.226225391,0,100,0,0.201234986,100,12.7009691,0,100,0,5.833617793,100
Taf1,0,8.963216638,100,0,22.59791513,100,7.569388324,0,100,0,25.99280238,100
Taf7sc101167,0,2.965371699,100,0,1.198449484,100,4.839855946,0,100,2.318344288,0,100
Tal1sc12984,9.252081863,0,100,0,11.40789829,100,0,1.541887168,100,0,33.27186501,100
Tblr1ab24550,10.55276716,0,100,1.745272225,0,100,0.55665397,0,100,0,6.385724989,100
Tblr1nb600270,4.121455054,0,100,1.2107001,0,100,22.72527547,0,100,0,0.025501111,100
Tbp,0,0.047702061,100,0,7.93480899,100,36.66381441,0,100,0,13.32246412,100
Tead4sc101184,11.56575115,0,100,0,10.00987929,100,0,1.010909379,100,0,24.32922119,100
Tf3c110,0,1.387606217,100,0.790773815,0,100,0,3.496566651,100,0,7.488253034,100
Thap1sc98174,0,0.729718711,100,0,3.06679322,100,3.806942563,0,100,0,7.702808682,100
Tr4,96.43812298,100,0,0,2.614457643,100,0,2.45173883,100,0,0.589431843,100
Trim28sc81411,1.168906972,0,100,0,3.123949867,100,16.1135527,0,100,0,8.797451189,100
Ubfsc13125,0.588261275,0,100,3.291931205,0,100,8.460623171,0,100,0,5.256675907,100
Ubtfsab1404509,6.864419245,0,100,0,3.001369541,100,5.85970744,0,100,0,7.397993987,100
Usf1,5.167408541,0,100,0,11.38427674,100,0,23.10210165,100,0,11.81107025,100
Usf2,0,1.701279347,100,1.824712808,0,100,1.030256352,0,100,0,7.869889872,100
Yy1,0,2.056044228,100,0,16.58055479,100,0,15.55030466,100,0,32.57822673,100
Zbtb33,0,28.14396777,100,0,12.08255754,100,1.675392033,0,100,0,5.961666542,100
Zbtb7asc34508,0,1.932807509,100,0,23.15097758,100,0,19.0152478,100,0,40.26496661,100
Znf143,3.250776352,0,100,2.268426947,0,100,100,0,45.81329973,0,8.858923066,100
Znf263,0,54.17522924,100,0,7.620407356,100,5.264046368,0,100,0,2.50458709,100
Znf274,0,0.031576907,100,0.099427975,0,100,0,0.093383392,100,0,0.672256719,100
Znf274m01,0,0.532141481,100,0,9.910237718,100,0,1.337368516,100,0,0.172427418,100
