Resolution,Resampling,Predictor,Metric,AvePerf,SDPerf
25kb,None,Distance,MCC,0.152,0.055
25kb,None,Distance,F1,0.106,0.043
25kb,None,Distance,AUC,0.819,0.058
25kb,None,Distance,AUPRC,0.407,0.081
25kb,ROS,OC,Sensitivity,0.134,0.06
25kb,ROS,OC,Specificity,0.94,0.02
25kb,ROS,OC,Accuracy,0.837,0.012
25kb,ROS,OC,Precision,0.239,0.051
25kb,ROS,OC,MCC,0.093,0.044
25kb,ROS,OC,F1,0.166,0.057
25kb,ROS,OC,AUC,0.66,0.034
25kb,ROS,OC,AUPRC,0.205,0.024
25kb,ROS,OP,Sensitivity,0.083,0.043
25kb,ROS,OP,Specificity,0.96,0.017
25kb,ROS,OP,Accuracy,0.848,0.012
25kb,ROS,OP,Precision,0.232,0.065
25kb,ROS,OP,MCC,0.067,0.04
25kb,ROS,OP,F1,0.118,0.048
25kb,ROS,OP,AUC,0.66,0.032
25kb,ROS,OP,AUPRC,0.204,0.029
25kb,ROS,Distance,Sensitivity,0.213,0.062
25kb,ROS,Distance,Specificity,0.982,0.005
25kb,ROS,Distance,Accuracy,0.884,0.012
25kb,ROS,Distance,Precision,0.626,0.071
25kb,ROS,Distance,MCC,0.317,0.068
25kb,ROS,Distance,F1,0.314,0.076
25kb,ROS,Distance,AUC,0.867,0.027
25kb,ROS,Distance,AUPRC,0.496,0.051
25kb,RUS,OC,Sensitivity,0.601,0.064
25kb,RUS,OC,Specificity,0.654,0.031
25kb,RUS,OC,Accuracy,0.647,0.027
25kb,RUS,OC,Precision,0.202,0.023
25kb,RUS,OC,MCC,0.175,0.044
25kb,RUS,OC,F1,0.301,0.03
25kb,RUS,OC,AUC,0.676,0.039
25kb,RUS,OC,AUPRC,0.23,0.037
25kb,RUS,OP,Sensitivity,0.622,0.061
25kb,RUS,OP,Specificity,0.646,0.032
25kb,RUS,OP,Accuracy,0.643,0.026
25kb,RUS,OP,Precision,0.204,0.021
25kb,RUS,OP,MCC,0.183,0.037
25kb,RUS,OP,F1,0.306,0.027
25kb,RUS,OP,AUC,0.68,0.031
25kb,RUS,OP,AUPRC,0.234,0.037
25kb,RUS,Distance,Sensitivity,0.775,0.081
25kb,RUS,Distance,Specificity,0.65,0.042
25kb,RUS,Distance,Accuracy,0.666,0.041
25kb,RUS,Distance,Precision,0.245,0.036
25kb,RUS,Distance,MCC,0.289,0.071
25kb,RUS,Distance,F1,0.372,0.048
25kb,RUS,Distance,AUC,0.782,0.061
25kb,RUS,Distance,AUPRC,0.336,0.065
25kb,SMOTE,OC,Sensitivity,0.404,0.082
25kb,SMOTE,OC,Specificity,0.823,0.025
25kb,SMOTE,OC,Accuracy,0.769,0.019
25kb,SMOTE,OC,Precision,0.248,0.044
25kb,SMOTE,OC,MCC,0.186,0.06
25kb,SMOTE,OC,F1,0.306,0.052
25kb,SMOTE,OC,AUC,0.676,0.042
25kb,SMOTE,OC,AUPRC,0.238,0.041
25kb,SMOTE,OP,Sensitivity,0.448,0.076
25kb,SMOTE,OP,Specificity,0.79,0.033
25kb,SMOTE,OP,Accuracy,0.746,0.026
25kb,SMOTE,OP,Precision,0.238,0.04
25kb,SMOTE,OP,MCC,0.186,0.054
25kb,SMOTE,OP,F1,0.309,0.045
25kb,SMOTE,OP,AUC,0.675,0.041
25kb,SMOTE,OP,AUPRC,0.233,0.038
25kb,SMOTE,Distance,Sensitivity,0.716,0.079
25kb,SMOTE,Distance,Specificity,0.76,0.02
25kb,SMOTE,Distance,Accuracy,0.754,0.014
25kb,SMOTE,Distance,Precision,0.302,0.022
25kb,SMOTE,Distance,MCC,0.345,0.042
25kb,SMOTE,Distance,F1,0.423,0.029
