,Resolution,,,
Genomic Annotation,10 kb,25 kb,50 kb,100 kb
Smc3ab9263,1,1,1,9
Rad21,2,3,2,17
Ctcfc,3,2,4,4
Znf143,4,4,3,6
Ctcf,5,126,106,114
Ctcfb,6,5,107,1
08Insulator,7,6,5,2
Mazab85725,8,8,70,84
DNase,9,10,108,19
H3k4me1,10,131,118,34
11WeakTxn,11,12,93,7
Bhlhe40nb100,12,96,99,83
Tead4sc101184,13,20,136,20
Corestsc30189,14,69,75,103
Jund,15,134,72,88
Max,16,79,123,123
10TxnElongation,17,41,40,110
Nr2f2sc271940,18,90,91,125
Cbx3sc101004,19,123,100,95
H3k27me3,20,39,43,26
