Cell Line,Resolution,Imbalance Ratio (SD)
GM12878,10 kb,0.12
GM12878,25 kb,0.17
GM12878,50 kb,0.16
GM12878,100 kb,0.14
K562,10 kb,0.11
K562,25 kb,0.14
K562,50 kb,0.15
K562,100 kb,0.14
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
