"","CellLine","Resolution","Resampling","PredictorType","Metric","Performance"
"511","GM12878","10 kb","RUS","Distance","AUC",0.823
"512","GM12878","10 kb","RUS","Distance","Youden",0.506
"513","GM12878","10 kb","RUS","Distance","AUPRC",0.346
"514","GM12878","25 kb","RUS","OC","TN",1586
"515","GM12878","25 kb","RUS","OC","FN",202
"516","GM12878","25 kb","RUS","OC","FP",732
"517","GM12878","25 kb","RUS","OC","TP",193
"518","GM12878","25 kb","RUS","OC","Total",2713
"519","GM12878","25 kb","RUS","OC","Sensitivity",0.489
"520","GM12878","25 kb","RUS","OC","Specificity",0.684
"521","GM12878","25 kb","RUS","OC","Kappa",0.111
"522","GM12878","25 kb","RUS","OC","Accuracy",0.656
"523","GM12878","25 kb","RUS","OC","Precision",0.209
"524","GM12878","25 kb","RUS","OC","FPR",0.316
"525","GM12878","25 kb","RUS","OC","FNR",0.113
"526","GM12878","25 kb","RUS","OC","FOR",0.113
"527","GM12878","25 kb","RUS","OC","NPV",0.887
"528","GM12878","25 kb","RUS","OC","MCC",0.129
"529","GM12878","25 kb","RUS","OC","F1",0.292
"530","GM12878","25 kb","RUS","OC","AUC",0.6
"531","GM12878","25 kb","RUS","OC","Youden",0.173
"532","GM12878","25 kb","RUS","OC","AUPRC",0.201
"533","GM12878","25 kb","RUS","OP","TN",1586
"534","GM12878","25 kb","RUS","OP","FN",184
"535","GM12878","25 kb","RUS","OP","FP",732
"536","GM12878","25 kb","RUS","OP","TP",211
"537","GM12878","25 kb","RUS","OP","Total",2713
"538","GM12878","25 kb","RUS","OP","Sensitivity",0.534
"539","GM12878","25 kb","RUS","OP","Specificity",0.684
"540","GM12878","25 kb","RUS","OP","Kappa",0.139
"541","GM12878","25 kb","RUS","OP","Accuracy",0.662
"542","GM12878","25 kb","RUS","OP","Precision",0.224
"543","GM12878","25 kb","RUS","OP","FPR",0.316
"544","GM12878","25 kb","RUS","OP","FNR",0.104
"545","GM12878","25 kb","RUS","OP","FOR",0.104
"546","GM12878","25 kb","RUS","OP","NPV",0.896
"547","GM12878","25 kb","RUS","OP","MCC",0.162
"548","GM12878","25 kb","RUS","OP","F1",0.315
"549","GM12878","25 kb","RUS","OP","AUC",0.628
"550","GM12878","25 kb","RUS","OP","Youden",0.218
"551","GM12878","25 kb","RUS","OP","AUPRC",0.229
"552","GM12878","25 kb","RUS","Distance","TN",1515
"553","GM12878","25 kb","RUS","Distance","FN",85
"554","GM12878","25 kb","RUS","Distance","FP",803
"555","GM12878","25 kb","RUS","Distance","TP",310
"556","GM12878","25 kb","RUS","Distance","Total",2713
"557","GM12878","25 kb","RUS","Distance","Sensitivity",0.785
"558","GM12878","25 kb","RUS","Distance","Specificity",0.654
"559","GM12878","25 kb","RUS","Distance","Kappa",0.25
"560","GM12878","25 kb","RUS","Distance","Accuracy",0.673
"561","GM12878","25 kb","RUS","Distance","Precision",0.279
"562","GM12878","25 kb","RUS","Distance","FPR",0.346
"563","GM12878","25 kb","RUS","Distance","FNR",0.053
"564","GM12878","25 kb","RUS","Distance","FOR",0.053
"565","GM12878","25 kb","RUS","Distance","NPV",0.947
"566","GM12878","25 kb","RUS","Distance","MCC",0.314
"567","GM12878","25 kb","RUS","Distance","F1",0.411
"568","GM12878","25 kb","RUS","Distance","AUC",0.79
"569","GM12878","25 kb","RUS","Distance","Youden",0.438
"570","GM12878","25 kb","RUS","Distance","AUPRC",0.359
"571","GM12878","50 kb","RUS","OC","TN",680
"572","GM12878","50 kb","RUS","OC","FN",73
"573","GM12878","50 kb","RUS","OC","FP",484
"574","GM12878","50 kb","RUS","OC","TP",126
"575","GM12878","50 kb","RUS","OC","Total",1363
"576","GM12878","50 kb","RUS","OC","Sensitivity",0.633
"577","GM12878","50 kb","RUS","OC","Specificity",0.584
"578","GM12878","50 kb","RUS","OC","Kappa",0.117
"579","GM12878","50 kb","RUS","OC","Accuracy",0.591
"580","GM12878","50 kb","RUS","OC","Precision",0.207
"581","GM12878","50 kb","RUS","OC","FPR",0.416
"582","GM12878","50 kb","RUS","OC","FNR",0.097
"583","GM12878","50 kb","RUS","OC","FOR",0.097
"584","GM12878","50 kb","RUS","OC","NPV",0.903
"585","GM12878","50 kb","RUS","OC","MCC",0.154
"586","GM12878","50 kb","RUS","OC","F1",0.311
"587","GM12878","50 kb","RUS","OC","AUC",0.628
"588","GM12878","50 kb","RUS","OC","Youden",0.217
"589","GM12878","50 kb","RUS","OC","AUPRC",0.204
"590","GM12878","50 kb","RUS","OP","TN",691
"591","GM12878","50 kb","RUS","OP","FN",68
"592","GM12878","50 kb","RUS","OP","FP",473
"593","GM12878","50 kb","RUS","OP","TP",131
"594","GM12878","50 kb","RUS","OP","Total",1363
"595","GM12878","50 kb","RUS","OP","Sensitivity",0.658
"596","GM12878","50 kb","RUS","OP","Specificity",0.594
"597","GM12878","50 kb","RUS","OP","Kappa",0.137
"598","GM12878","50 kb","RUS","OP","Accuracy",0.603
"599","GM12878","50 kb","RUS","OP","Precision",0.217
"600","GM12878","50 kb","RUS","OP","FPR",0.406
"601","GM12878","50 kb","RUS","OP","FNR",0.09
"602","GM12878","50 kb","RUS","OP","FOR",0.09
"603","GM12878","50 kb","RUS","OP","NPV",0.91
"604","GM12878","50 kb","RUS","OP","MCC",0.179
"605","GM12878","50 kb","RUS","OP","F1",0.326
"606","GM12878","50 kb","RUS","OP","AUC",0.64
"607","GM12878","50 kb","RUS","OP","Youden",0.252
"608","GM12878","50 kb","RUS","OP","AUPRC",0.204
"609","GM12878","50 kb","RUS","Distance","TN",736
"610","GM12878","50 kb","RUS","Distance","FN",66
"611","GM12878","50 kb","RUS","Distance","FP",428
"612","GM12878","50 kb","RUS","Distance","TP",133
"613","GM12878","50 kb","RUS","Distance","Total",1363
"614","GM12878","50 kb","RUS","Distance","Sensitivity",0.668
"615","GM12878","50 kb","RUS","Distance","Specificity",0.632
"616","GM12878","50 kb","RUS","Distance","Kappa",0.171
"617","GM12878","50 kb","RUS","Distance","Accuracy",0.638
"618","GM12878","50 kb","RUS","Distance","Precision",0.237
"619","GM12878","50 kb","RUS","Distance","FPR",0.368
"620","GM12878","50 kb","RUS","Distance","FNR",0.082
"621","GM12878","50 kb","RUS","Distance","FOR",0.082
"622","GM12878","50 kb","RUS","Distance","NPV",0.918
"623","GM12878","50 kb","RUS","Distance","MCC",0.216
"624","GM12878","50 kb","RUS","Distance","F1",0.35
"625","GM12878","50 kb","RUS","Distance","AUC",0.706
"626","GM12878","50 kb","RUS","Distance","Youden",0.301
"627","GM12878","50 kb","RUS","Distance","AUPRC",0.254
"628","GM12878","100 kb","RUS","OC","TN",312
"629","GM12878","100 kb","RUS","OC","FN",31
"630","GM12878","100 kb","RUS","OC","FP",284
"631","GM12878","100 kb","RUS","OC","TP",57
"632","GM12878","100 kb","RUS","OC","Total",684
"633","GM12878","100 kb","RUS","OC","Sensitivity",0.648
"634","GM12878","100 kb","RUS","OC","Specificity",0.523
"635","GM12878","100 kb","RUS","OC","Kappa",0.077
"636","GM12878","100 kb","RUS","OC","Accuracy",0.539
"637","GM12878","100 kb","RUS","OC","Precision",0.167
"638","GM12878","100 kb","RUS","OC","FPR",0.477
"639","GM12878","100 kb","RUS","OC","FNR",0.09
"640","GM12878","100 kb","RUS","OC","FOR",0.09
"641","GM12878","100 kb","RUS","OC","NPV",0.91
"642","GM12878","100 kb","RUS","OC","MCC",0.115
"643","GM12878","100 kb","RUS","OC","F1",0.266
"644","GM12878","100 kb","RUS","OC","AUC",0.61
"645","GM12878","100 kb","RUS","OC","Youden",0.171
"646","GM12878","100 kb","RUS","OC","AUPRC",0.173
"647","GM12878","100 kb","RUS","OP","TN",313
"648","GM12878","100 kb","RUS","OP","FN",33
"649","GM12878","100 kb","RUS","OP","FP",283
"650","GM12878","100 kb","RUS","OP","TP",55
"651","GM12878","100 kb","RUS","OP","Total",684
"652","GM12878","100 kb","RUS","OP","Sensitivity",0.625
"653","GM12878","100 kb","RUS","OP","Specificity",0.525
"654","GM12878","100 kb","RUS","OP","Kappa",0.068
"655","GM12878","100 kb","RUS","OP","Accuracy",0.538
"656","GM12878","100 kb","RUS","OP","Precision",0.163
"657","GM12878","100 kb","RUS","OP","FPR",0.475
"658","GM12878","100 kb","RUS","OP","FNR",0.095
"659","GM12878","100 kb","RUS","OP","FOR",0.095
"660","GM12878","100 kb","RUS","OP","NPV",0.905
"661","GM12878","100 kb","RUS","OP","MCC",0.101
"662","GM12878","100 kb","RUS","OP","F1",0.258
"663","GM12878","100 kb","RUS","OP","AUC",0.608
"664","GM12878","100 kb","RUS","OP","Youden",0.15
"665","GM12878","100 kb","RUS","OP","AUPRC",0.164
"666","GM12878","100 kb","RUS","Distance","TN",328
"667","GM12878","100 kb","RUS","Distance","FN",12
"668","GM12878","100 kb","RUS","Distance","FP",268
"669","GM12878","100 kb","RUS","Distance","TP",76
"670","GM12878","100 kb","RUS","Distance","Total",684
"671","GM12878","100 kb","RUS","Distance","Sensitivity",0.864
"672","GM12878","100 kb","RUS","Distance","Specificity",0.55
"673","GM12878","100 kb","RUS","Distance","Kappa",0.185
"674","GM12878","100 kb","RUS","Distance","Accuracy",0.591
"675","GM12878","100 kb","RUS","Distance","Precision",0.221
"676","GM12878","100 kb","RUS","Distance","FPR",0.45
"677","GM12878","100 kb","RUS","Distance","FNR",0.035
"678","GM12878","100 kb","RUS","Distance","FOR",0.035
"679","GM12878","100 kb","RUS","Distance","NPV",0.965
"680","GM12878","100 kb","RUS","Distance","MCC",0.277
"681","GM12878","100 kb","RUS","Distance","F1",0.352
"682","GM12878","100 kb","RUS","Distance","AUC",0.753
"683","GM12878","100 kb","RUS","Distance","Youden",0.414
"684","GM12878","100 kb","RUS","Distance","AUPRC",0.304
"685","GM12878","10 kb","SMOTE","OC","TN",5041
"686","GM12878","10 kb","SMOTE","OC","FN",468
"687","GM12878","10 kb","SMOTE","OC","FP",976
"688","GM12878","10 kb","SMOTE","OC","TP",273
"689","GM12878","10 kb","SMOTE","OC","Total",6758
"690","GM12878","10 kb","SMOTE","OC","Sensitivity",0.368
"691","GM12878","10 kb","SMOTE","OC","Specificity",0.838
"692","GM12878","10 kb","SMOTE","OC","Kappa",0.159
"693","GM12878","10 kb","SMOTE","OC","Accuracy",0.786
"694","GM12878","10 kb","SMOTE","OC","Precision",0.219
"695","GM12878","10 kb","SMOTE","OC","FPR",0.162
"696","GM12878","10 kb","SMOTE","OC","FNR",0.085
"697","GM12878","10 kb","SMOTE","OC","FOR",0.085
"698","GM12878","10 kb","SMOTE","OC","NPV",0.915
"699","GM12878","10 kb","SMOTE","OC","MCC",0.166
"700","GM12878","10 kb","SMOTE","OC","F1",0.274
"701","GM12878","10 kb","SMOTE","OC","AUC",0.661
"702","GM12878","10 kb","SMOTE","OC","Youden",0.206
"703","GM12878","10 kb","SMOTE","OC","AUPRC",0.193
"704","GM12878","10 kb","SMOTE","OP","TN",4776
"705","GM12878","10 kb","SMOTE","OP","FN",429
"706","GM12878","10 kb","SMOTE","OP","FP",1241
"707","GM12878","10 kb","SMOTE","OP","TP",312
"708","GM12878","10 kb","SMOTE","OP","Total",6758
"709","GM12878","10 kb","SMOTE","OP","Sensitivity",0.421
"710","GM12878","10 kb","SMOTE","OP","Specificity",0.794
"711","GM12878","10 kb","SMOTE","OP","Kappa",0.145
"712","GM12878","10 kb","SMOTE","OP","Accuracy",0.753
"713","GM12878","10 kb","SMOTE","OP","Precision",0.201
"714","GM12878","10 kb","SMOTE","OP","FPR",0.206
"715","GM12878","10 kb","SMOTE","OP","FNR",0.082
"716","GM12878","10 kb","SMOTE","OP","FOR",0.082
"717","GM12878","10 kb","SMOTE","OP","NPV",0.918
"718","GM12878","10 kb","SMOTE","OP","MCC",0.16
"719","GM12878","10 kb","SMOTE","OP","F1",0.272
"720","GM12878","10 kb","SMOTE","OP","AUC",0.661
"721","GM12878","10 kb","SMOTE","OP","Youden",0.215
"722","GM12878","10 kb","SMOTE","OP","AUPRC",0.191
"723","GM12878","10 kb","SMOTE","Distance","TN",4612
"724","GM12878","10 kb","SMOTE","Distance","FN",174
"725","GM12878","10 kb","SMOTE","Distance","FP",1405
"726","GM12878","10 kb","SMOTE","Distance","TP",567
"727","GM12878","10 kb","SMOTE","Distance","Total",6758
"728","GM12878","10 kb","SMOTE","Distance","Sensitivity",0.765
"729","GM12878","10 kb","SMOTE","Distance","Specificity",0.766
"730","GM12878","10 kb","SMOTE","Distance","Kappa",0.308
"731","GM12878","10 kb","SMOTE","Distance","Accuracy",0.766
"732","GM12878","10 kb","SMOTE","Distance","Precision",0.288
"733","GM12878","10 kb","SMOTE","Distance","FPR",0.234
"734","GM12878","10 kb","SMOTE","Distance","FNR",0.036
"735","GM12878","10 kb","SMOTE","Distance","FOR",0.036
"736","GM12878","10 kb","SMOTE","Distance","NPV",0.964
"737","GM12878","10 kb","SMOTE","Distance","MCC",0.365
"738","GM12878","10 kb","SMOTE","Distance","F1",0.418
"739","GM12878","10 kb","SMOTE","Distance","AUC",0.837
"740","GM12878","10 kb","SMOTE","Distance","Youden",0.532
"741","GM12878","10 kb","SMOTE","Distance","AUPRC",0.35
"742","GM12878","25 kb","SMOTE","OC","TN",1881
"743","GM12878","25 kb","SMOTE","OC","FN",242
"744","GM12878","25 kb","SMOTE","OC","FP",437
"745","GM12878","25 kb","SMOTE","OC","TP",153
"746","GM12878","25 kb","SMOTE","OC","Total",2713
"747","GM12878","25 kb","SMOTE","OC","Sensitivity",0.387
"748","GM12878","25 kb","SMOTE","OC","Specificity",0.811
"749","GM12878","25 kb","SMOTE","OC","Kappa",0.165
"750","GM12878","25 kb","SMOTE","OC","Accuracy",0.75
"751","GM12878","25 kb","SMOTE","OC","Precision",0.259
"752","GM12878","25 kb","SMOTE","OC","FPR",0.189
"753","GM12878","25 kb","SMOTE","OC","FNR",0.114
"754","GM12878","25 kb","SMOTE","OC","FOR",0.114
"755","GM12878","25 kb","SMOTE","OC","NPV",0.886
"756","GM12878","25 kb","SMOTE","OC","MCC",0.17
"757","GM12878","25 kb","SMOTE","OC","F1",0.311
"758","GM12878","25 kb","SMOTE","OC","AUC",0.625
"759","GM12878","25 kb","SMOTE","OC","Youden",0.199
"760","GM12878","25 kb","SMOTE","OC","AUPRC",0.228
"761","GM12878","25 kb","SMOTE","OP","TN",1752
"762","GM12878","25 kb","SMOTE","OP","FN",213
"763","GM12878","25 kb","SMOTE","OP","FP",566
"764","GM12878","25 kb","SMOTE","OP","TP",182
"765","GM12878","25 kb","SMOTE","OP","Total",2713
"766","GM12878","25 kb","SMOTE","OP","Sensitivity",0.461
"767","GM12878","25 kb","SMOTE","OP","Specificity",0.756
"768","GM12878","25 kb","SMOTE","OP","Kappa",0.158
"769","GM12878","25 kb","SMOTE","OP","Accuracy",0.713
"770","GM12878","25 kb","SMOTE","OP","Precision",0.243
"771","GM12878","25 kb","SMOTE","OP","FPR",0.244
"772","GM12878","25 kb","SMOTE","OP","FNR",0.108
"773","GM12878","25 kb","SMOTE","OP","FOR",0.108
"774","GM12878","25 kb","SMOTE","OP","NPV",0.892
"775","GM12878","25 kb","SMOTE","OP","MCC",0.171
"776","GM12878","25 kb","SMOTE","OP","F1",0.318
"777","GM12878","25 kb","SMOTE","OP","AUC",0.63
"778","GM12878","25 kb","SMOTE","OP","Youden",0.217
"779","GM12878","25 kb","SMOTE","OP","AUPRC",0.227
"780","GM12878","25 kb","SMOTE","Distance","TN",1656
"781","GM12878","25 kb","SMOTE","Distance","FN",108
"782","GM12878","25 kb","SMOTE","Distance","FP",662
"783","GM12878","25 kb","SMOTE","Distance","TP",287
"784","GM12878","25 kb","SMOTE","Distance","Total",2713
"785","GM12878","25 kb","SMOTE","Distance","Sensitivity",0.727
"786","GM12878","25 kb","SMOTE","Distance","Specificity",0.714
"787","GM12878","25 kb","SMOTE","Distance","Kappa",0.279
"788","GM12878","25 kb","SMOTE","Distance","Accuracy",0.716
"789","GM12878","25 kb","SMOTE","Distance","Precision",0.302
"790","GM12878","25 kb","SMOTE","Distance","FPR",0.286
"791","GM12878","25 kb","SMOTE","Distance","FNR",0.061
"792","GM12878","25 kb","SMOTE","Distance","FOR",0.061
"793","GM12878","25 kb","SMOTE","Distance","NPV",0.939
"794","GM12878","25 kb","SMOTE","Distance","MCC",0.326
"795","GM12878","25 kb","SMOTE","Distance","F1",0.427
"796","GM12878","25 kb","SMOTE","Distance","AUC",0.791
"797","GM12878","25 kb","SMOTE","Distance","Youden",0.441
"798","GM12878","25 kb","SMOTE","Distance","AUPRC",0.361
"799","GM12878","50 kb","SMOTE","OC","TN",957
"800","GM12878","50 kb","SMOTE","OC","FN",130
"801","GM12878","50 kb","SMOTE","OC","FP",207
"802","GM12878","50 kb","SMOTE","OC","TP",69
"803","GM12878","50 kb","SMOTE","OC","Total",1363
"804","GM12878","50 kb","SMOTE","OC","Sensitivity",0.347
"805","GM12878","50 kb","SMOTE","OC","Specificity",0.822
"806","GM12878","50 kb","SMOTE","OC","Kappa",0.146
"807","GM12878","50 kb","SMOTE","OC","Accuracy",0.753
"808","GM12878","50 kb","SMOTE","OC","Precision",0.25
"809","GM12878","50 kb","SMOTE","OC","FPR",0.178
"810","GM12878","50 kb","SMOTE","OC","FNR",0.12
"811","GM12878","50 kb","SMOTE","OC","FOR",0.12
"812","GM12878","50 kb","SMOTE","OC","NPV",0.88
"813","GM12878","50 kb","SMOTE","OC","MCC",0.148
"814","GM12878","50 kb","SMOTE","OC","F1",0.291
"815","GM12878","50 kb","SMOTE","OC","AUC",0.627
"816","GM12878","50 kb","SMOTE","OC","Youden",0.169
"817","GM12878","50 kb","SMOTE","OC","AUPRC",0.204
"818","GM12878","50 kb","SMOTE","OP","TN",886
"819","GM12878","50 kb","SMOTE","OP","FN",112
"820","GM12878","50 kb","SMOTE","OP","FP",278
"821","GM12878","50 kb","SMOTE","OP","TP",87
"822","GM12878","50 kb","SMOTE","OP","Total",1363
"823","GM12878","50 kb","SMOTE","OP","Sensitivity",0.437
"824","GM12878","50 kb","SMOTE","OP","Specificity",0.761
"825","GM12878","50 kb","SMOTE","OP","Kappa",0.147
"826","GM12878","50 kb","SMOTE","OP","Accuracy",0.714
"827","GM12878","50 kb","SMOTE","OP","Precision",0.238
"828","GM12878","50 kb","SMOTE","OP","FPR",0.239
"829","GM12878","50 kb","SMOTE","OP","FNR",0.112
"830","GM12878","50 kb","SMOTE","OP","FOR",0.112
"831","GM12878","50 kb","SMOTE","OP","NPV",0.888
"832","GM12878","50 kb","SMOTE","OP","MCC",0.158
"833","GM12878","50 kb","SMOTE","OP","F1",0.309
"834","GM12878","50 kb","SMOTE","OP","AUC",0.64
"835","GM12878","50 kb","SMOTE","OP","Youden",0.198
"836","GM12878","50 kb","SMOTE","OP","AUPRC",0.218
"837","GM12878","50 kb","SMOTE","Distance","TN",902
"838","GM12878","50 kb","SMOTE","Distance","FN",86
"839","GM12878","50 kb","SMOTE","Distance","FP",262
"840","GM12878","50 kb","SMOTE","Distance","TP",113
"841","GM12878","50 kb","SMOTE","Distance","Total",1363
"842","GM12878","50 kb","SMOTE","Distance","Sensitivity",0.568
"843","GM12878","50 kb","SMOTE","Distance","Specificity",0.775
"844","GM12878","50 kb","SMOTE","Distance","Kappa",0.251
"845","GM12878","50 kb","SMOTE","Distance","Accuracy",0.745
"846","GM12878","50 kb","SMOTE","Distance","Precision",0.301
"847","GM12878","50 kb","SMOTE","Distance","FPR",0.225
"848","GM12878","50 kb","SMOTE","Distance","FNR",0.087
"849","GM12878","50 kb","SMOTE","Distance","FOR",0.087
"850","GM12878","50 kb","SMOTE","Distance","NPV",0.913
"851","GM12878","50 kb","SMOTE","Distance","MCC",0.271
"852","GM12878","50 kb","SMOTE","Distance","F1",0.394
"853","GM12878","50 kb","SMOTE","Distance","AUC",0.753
"854","GM12878","50 kb","SMOTE","Distance","Youden",0.343
"855","GM12878","50 kb","SMOTE","Distance","AUPRC",0.343
"856","GM12878","100 kb","SMOTE","OC","TN",498
"857","GM12878","100 kb","SMOTE","OC","FN",66
"858","GM12878","100 kb","SMOTE","OC","FP",98
"859","GM12878","100 kb","SMOTE","OC","TP",22
"860","GM12878","100 kb","SMOTE","OC","Total",684
"861","GM12878","100 kb","SMOTE","OC","Sensitivity",0.25
"862","GM12878","100 kb","SMOTE","OC","Specificity",0.836
"863","GM12878","100 kb","SMOTE","OC","Kappa",0.074
"864","GM12878","100 kb","SMOTE","OC","Accuracy",0.76
"865","GM12878","100 kb","SMOTE","OC","Precision",0.183
"866","GM12878","100 kb","SMOTE","OC","FPR",0.164
"867","GM12878","100 kb","SMOTE","OC","FNR",0.117
"868","GM12878","100 kb","SMOTE","OC","FOR",0.117
"869","GM12878","100 kb","SMOTE","OC","NPV",0.883
"870","GM12878","100 kb","SMOTE","OC","MCC",0.075
"871","GM12878","100 kb","SMOTE","OC","F1",0.212
"872","GM12878","100 kb","SMOTE","OC","AUC",0.622
"873","GM12878","100 kb","SMOTE","OC","Youden",0.086
"874","GM12878","100 kb","SMOTE","OC","AUPRC",0.169
"875","GM12878","100 kb","SMOTE","OP","TN",468
"876","GM12878","100 kb","SMOTE","OP","FN",60
"877","GM12878","100 kb","SMOTE","OP","FP",128
"878","GM12878","100 kb","SMOTE","OP","TP",28
"879","GM12878","100 kb","SMOTE","OP","Total",684
"880","GM12878","100 kb","SMOTE","OP","Sensitivity",0.318
"881","GM12878","100 kb","SMOTE","OP","Specificity",0.785
"882","GM12878","100 kb","SMOTE","OP","Kappa",0.078
"883","GM12878","100 kb","SMOTE","OP","Accuracy",0.725
"884","GM12878","100 kb","SMOTE","OP","Precision",0.179
"885","GM12878","100 kb","SMOTE","OP","FPR",0.215
"886","GM12878","100 kb","SMOTE","OP","FNR",0.114
"887","GM12878","100 kb","SMOTE","OP","FOR",0.114
"888","GM12878","100 kb","SMOTE","OP","NPV",0.886
"889","GM12878","100 kb","SMOTE","OP","MCC",0.083
"890","GM12878","100 kb","SMOTE","OP","F1",0.23
"891","GM12878","100 kb","SMOTE","OP","AUC",0.589
"892","GM12878","100 kb","SMOTE","OP","Youden",0.103
"893","GM12878","100 kb","SMOTE","OP","AUPRC",0.163
"894","GM12878","100 kb","SMOTE","Distance","TN",461
"895","GM12878","100 kb","SMOTE","Distance","FN",32
"896","GM12878","100 kb","SMOTE","Distance","FP",135
"897","GM12878","100 kb","SMOTE","Distance","TP",56
"898","GM12878","100 kb","SMOTE","Distance","Total",684
"899","GM12878","100 kb","SMOTE","Distance","Sensitivity",0.636
"900","GM12878","100 kb","SMOTE","Distance","Specificity",0.773
"901","GM12878","100 kb","SMOTE","Distance","Kappa",0.273
"902","GM12878","100 kb","SMOTE","Distance","Accuracy",0.756
"903","GM12878","100 kb","SMOTE","Distance","Precision",0.293
"904","GM12878","100 kb","SMOTE","Distance","FPR",0.227
"905","GM12878","100 kb","SMOTE","Distance","FNR",0.065
"906","GM12878","100 kb","SMOTE","Distance","FOR",0.065
"907","GM12878","100 kb","SMOTE","Distance","NPV",0.935
"908","GM12878","100 kb","SMOTE","Distance","MCC",0.306
"909","GM12878","100 kb","SMOTE","Distance","F1",0.401
"910","GM12878","100 kb","SMOTE","Distance","AUC",0.793
"911","GM12878","100 kb","SMOTE","Distance","Youden",0.41
"912","GM12878","100 kb","SMOTE","Distance","AUPRC",0.404
"913","K562","10 kb","None","OC","TN",6047
"914","K562","10 kb","None","OC","FN",700
"915","K562","10 kb","None","OC","FP",3
"916","K562","10 kb","None","OC","TP",6
"917","K562","10 kb","None","OC","Total",6756
"918","K562","10 kb","None","OC","Sensitivity",0.008
"919","K562","10 kb","None","OC","Specificity",1
"920","K562","10 kb","None","OC","Kappa",0.014
"921","K562","10 kb","None","OC","Accuracy",0.896
"922","K562","10 kb","None","OC","Precision",0.667
"923","K562","10 kb","None","OC","FPR",0
"924","K562","10 kb","None","OC","FNR",0.104
"925","K562","10 kb","None","OC","FOR",0.104
"926","K562","10 kb","None","OC","NPV",0.896
"927","K562","10 kb","None","OC","MCC",0.067
"928","K562","10 kb","None","OC","F1",0.017
"929","K562","10 kb","None","OC","AUC",0.722
"930","K562","10 kb","None","OC","Youden",0.008
"931","K562","10 kb","None","OC","AUPRC",0.244
"932","K562","10 kb","None","OP","TN",6044
"933","K562","10 kb","None","OP","FN",700
"934","K562","10 kb","None","OP","FP",6
"935","K562","10 kb","None","OP","TP",6
"936","K562","10 kb","None","OP","Total",6756
"937","K562","10 kb","None","OP","Sensitivity",0.008
"938","K562","10 kb","None","OP","Specificity",0.999
"939","K562","10 kb","None","OP","Kappa",0.013
"940","K562","10 kb","None","OP","Accuracy",0.896
"941","K562","10 kb","None","OP","Precision",0.5
"942","K562","10 kb","None","OP","FPR",0.001
"943","K562","10 kb","None","OP","FNR",0.104
"944","K562","10 kb","None","OP","FOR",0.104
"945","K562","10 kb","None","OP","NPV",0.896
"946","K562","10 kb","None","OP","MCC",0.055
"947","K562","10 kb","None","OP","F1",0.017
"948","K562","10 kb","None","OP","AUC",0.74
"949","K562","10 kb","None","OP","Youden",0.008
"950","K562","10 kb","None","OP","AUPRC",0.253
"951","K562","10 kb","None","Distance","TN",6034
"952","K562","10 kb","None","Distance","FN",674
"953","K562","10 kb","None","Distance","FP",16
"954","K562","10 kb","None","Distance","TP",32
"955","K562","10 kb","None","Distance","Total",6756
"956","K562","10 kb","None","Distance","Sensitivity",0.045
"957","K562","10 kb","None","Distance","Specificity",0.997
"958","K562","10 kb","None","Distance","Kappa",0.073
"959","K562","10 kb","None","Distance","Accuracy",0.898
"960","K562","10 kb","None","Distance","Precision",0.667
"961","K562","10 kb","None","Distance","FPR",0.003
"962","K562","10 kb","None","Distance","FNR",0.1
"963","K562","10 kb","None","Distance","FOR",0.1
"964","K562","10 kb","None","Distance","NPV",0.9
"965","K562","10 kb","None","Distance","MCC",0.155
"966","K562","10 kb","None","Distance","F1",0.085
"967","K562","10 kb","None","Distance","AUC",0.877
"968","K562","10 kb","None","Distance","Youden",0.043
"969","K562","10 kb","None","Distance","AUPRC",0.452
"970","K562","25 kb","None","OC","TN",2361
"971","K562","25 kb","None","OC","FN",351
"972","K562","25 kb","None","OC","FP",0
"973","K562","25 kb","None","OC","TP",0
"974","K562","25 kb","None","OC","Total",2712
"975","K562","25 kb","None","OC","Sensitivity",0
"976","K562","25 kb","None","OC","Specificity",1
"977","K562","25 kb","None","OC","Kappa",0
"978","K562","25 kb","None","OC","Accuracy",0.871
"979","K562","25 kb","None","OC","Precision",NA
"980","K562","25 kb","None","OC","FPR",0
"981","K562","25 kb","None","OC","FNR",0.129
"982","K562","25 kb","None","OC","FOR",0.129
"983","K562","25 kb","None","OC","NPV",0.871
"984","K562","25 kb","None","OC","MCC",NA
"985","K562","25 kb","None","OC","F1",NA
"986","K562","25 kb","None","OC","AUC",0.699
"987","K562","25 kb","None","OC","Youden",0
"988","K562","25 kb","None","OC","AUPRC",0.259
"989","K562","25 kb","None","OP","TN",2361
"990","K562","25 kb","None","OP","FN",351
"991","K562","25 kb","None","OP","FP",0
"992","K562","25 kb","None","OP","TP",0
"993","K562","25 kb","None","OP","Total",2712
"994","K562","25 kb","None","OP","Sensitivity",0
"995","K562","25 kb","None","OP","Specificity",1
"996","K562","25 kb","None","OP","Kappa",0
"997","K562","25 kb","None","OP","Accuracy",0.871
"998","K562","25 kb","None","OP","Precision",NA
"999","K562","25 kb","None","OP","FPR",0
"1000","K562","25 kb","None","OP","FNR",0.129
"1001","K562","25 kb","None","OP","FOR",0.129
"1002","K562","25 kb","None","OP","NPV",0.871
"1003","K562","25 kb","None","OP","MCC",NA
"1004","K562","25 kb","None","OP","F1",NA
"1005","K562","25 kb","None","OP","AUC",0.715
"1006","K562","25 kb","None","OP","Youden",0
