"","CellLine","Resolution","Resampling","PredictorType","Metric","Performance"
"123","GM12878","50 kb","None","OC","Accuracy",0.854
"124","GM12878","50 kb","None","OC","Precision",NA
"125","GM12878","50 kb","None","OC","FPR",0
"126","GM12878","50 kb","None","OC","FNR",0.146
"127","GM12878","50 kb","None","OC","FOR",0.146
"128","GM12878","50 kb","None","OC","NPV",0.854
"129","GM12878","50 kb","None","OC","MCC",NA
"130","GM12878","50 kb","None","OC","F1",NA
"131","GM12878","50 kb","None","OC","AUC",0.624
"132","GM12878","50 kb","None","OC","Youden",0
"133","GM12878","50 kb","None","OC","AUPRC",0.217
"134","GM12878","50 kb","None","OP","TN",1164
"135","GM12878","50 kb","None","OP","FN",199
"136","GM12878","50 kb","None","OP","FP",0
"137","GM12878","50 kb","None","OP","TP",0
"138","GM12878","50 kb","None","OP","Total",1363
"139","GM12878","50 kb","None","OP","Sensitivity",0
"140","GM12878","50 kb","None","OP","Specificity",1
"141","GM12878","50 kb","None","OP","Kappa",0
"142","GM12878","50 kb","None","OP","Accuracy",0.854
"143","GM12878","50 kb","None","OP","Precision",NA
"144","GM12878","50 kb","None","OP","FPR",0
"145","GM12878","50 kb","None","OP","FNR",0.146
"146","GM12878","50 kb","None","OP","FOR",0.146
"147","GM12878","50 kb","None","OP","NPV",0.854
"148","GM12878","50 kb","None","OP","MCC",NA
"149","GM12878","50 kb","None","OP","F1",NA
"150","GM12878","50 kb","None","OP","AUC",0.624
"151","GM12878","50 kb","None","OP","Youden",0
"152","GM12878","50 kb","None","OP","AUPRC",0.212
"153","GM12878","50 kb","None","Distance","TN",1163
"154","GM12878","50 kb","None","Distance","FN",193
"155","GM12878","50 kb","None","Distance","FP",1
"156","GM12878","50 kb","None","Distance","TP",6
"157","GM12878","50 kb","None","Distance","Total",1363
"158","GM12878","50 kb","None","Distance","Sensitivity",0.03
"159","GM12878","50 kb","None","Distance","Specificity",0.999
"160","GM12878","50 kb","None","Distance","Kappa",0.049
"161","GM12878","50 kb","None","Distance","Accuracy",0.858
"162","GM12878","50 kb","None","Distance","Precision",0.857
"163","GM12878","50 kb","None","Distance","FPR",0.001
"164","GM12878","50 kb","None","Distance","FNR",0.142
"165","GM12878","50 kb","None","Distance","FOR",0.142
"166","GM12878","50 kb","None","Distance","NPV",0.858
"167","GM12878","50 kb","None","Distance","MCC",0.145
"168","GM12878","50 kb","None","Distance","F1",0.058
"169","GM12878","50 kb","None","Distance","AUC",0.774
"170","GM12878","50 kb","None","Distance","Youden",0.029
"171","GM12878","50 kb","None","Distance","AUPRC",0.385
"172","GM12878","100 kb","None","OC","TN",596
"173","GM12878","100 kb","None","OC","FN",88
"174","GM12878","100 kb","None","OC","FP",0
"175","GM12878","100 kb","None","OC","TP",0
"176","GM12878","100 kb","None","OC","Total",684
"177","GM12878","100 kb","None","OC","Sensitivity",0
"178","GM12878","100 kb","None","OC","Specificity",1
"179","GM12878","100 kb","None","OC","Kappa",0
"180","GM12878","100 kb","None","OC","Accuracy",0.871
"181","GM12878","100 kb","None","OC","Precision",NA
"182","GM12878","100 kb","None","OC","FPR",0
"183","GM12878","100 kb","None","OC","FNR",0.129
"184","GM12878","100 kb","None","OC","FOR",0.129
"185","GM12878","100 kb","None","OC","NPV",0.871
"186","GM12878","100 kb","None","OC","MCC",NA
