Resolution/Bin Width,Average Number of Genomic Bins (SD),Average Number of TAD Boundaries (SD),Average Imbalance Ratio (SD)
10 kb,12214.1 (6068.5),1254.6 (598.8),8.7 (1.2)
25 kb,4892.7 (2431.2),714.0 (358.4),5.9 (0.5)
50 kb,2450.9 (1217.6),364.4 (184.5),5.8 (0.5)
100 kb,1227.5 (609.8),165.3 (90.9),6.8 (1.1)
