,,25kb,,,,50kb,,,,100kb,,,
,,LASSO,,Elastic-Net,,LASSO,,Elastic-Net,,LASSO,,Elastic-Net,
,Balancing Technique,OC,OP,OC,OP,OC,OP ,OC,OP ,OC,OP,OC,OP
Accuracy,RUS,0.603,0.716,0.611,0.636,0.565,0.208,0.556,0.573,0.563,0.559,0.561,0.482
AUC,RUS,0.604,0.558,0.625,0.654,0.605,0.523,0.626,0.64,0.587,0.52,0.59,0.513
F1-Score,RUS,0.273,0.227,0.287,0.303,0.28,0.252,0.289,0.299,0.254,0.219,0.256,0.218
MCC,RUS,0.11,0.07,0.133,0.159,0.114,0.057,0.132,0.149,0.081,0.025,0.084,0.007
