,,LASSO,,,Elastic-Net,,
,Balancing Technique,OC,OP,Distance,OC,OP,Distance
Accuracy,None,0.865,0.787,0.865,0.865,0.863,0.867
,RUS,0.563,0.559,0.619,0.561,0.482,0.61
,ROS,0.863,0.784,0.867,0.864,0.701,0.845
,SMOTE,0.699,0.61,0.709,0.708,0.518,0.667
AUC,None,0.561,0.549,0.656,0.554,0.519,0.66
,RUS,0.587,0.52,0.666,0.59,0.513,0.645
,ROS,0.592,0.527,0.712,0.595,0.492,0.663
,SMOTE,0.585,0.526,0.666,0.591,0.534,0.642
F1-Score,None,NA,0.039,0.021,NA,NA,0.099
,RUS,0.254,0.219,0.307,0.256,0.218,0.296
,ROS,NA,0.051,0.06,NA,0.194,0.113
,SMOTE,0.202,0.217,0.297,0.219,0.225,0.265
MCC,None,NA,-0.077,0.058,NA,-0.021,0.142
,RUS,0.081,0.025,0.17,0.084,0.007,0.152
,ROS,NA,-0.068,0.11,NA,0.029,0.066
,SMOTE,0.037,0.031,0.156,0.06,0.026,0.107
