,,LASSO,,,Elastic-Net,,
,Balancing Technique,OC,OP ,Distance,OC,OP ,Distance
Accuracy,None,0.861,0.857,0.861,0.861,0.861,0.861
,RUS,0.565,0.208,0.639,0.556,0.573,0.64
,ROS,0.852,0.228,0.866,0.858,0.858,0.866
,SMOTE,0.734,0.206,0.734,0.741,0.68,0.727
AUC,None,0.598,0.489,0.8,0.622,0.608,0.802
,RUS,0.605,0.523,0.753,0.626,0.64,0.756
,ROS,0.602,0.531,0.821,0.642,0.644,0.818
,SMOTE,0.602,0.519,0.745,0.609,0.626,0.744
F1-Score,None,0.01,0.02,0.021,0.01,NA,0.021
,RUS,0.28,0.252,0.372,0.289,0.299,0.374
,ROS,0.029,0.256,0.128,0.029,NA,0.13
,SMOTE,0.279,0.253,0.377,0.26,0.308,0.372
MCC,None,0.04,0.019,0.071,0.067,NA,0.071
,RUS,0.114,0.057,0.269,0.132,0.149,0.272
,ROS,0.009,0.073,0.189,0.043,0.03,0.188
,SMOTE,0.134,0.061,0.258,0.114,0.162,0.251
